Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D29,LED_OK,LED_0603_1608Metric,265.75,-105.5,90.0,top
D3,LED_WARN,LED_0603_1608Metric,498.3,-152.4451,-90.0,top
D30,LED_FAIL,LED_0603_1608Metric,265.75,-101.25,90.0,top
D31,LED_WARN,LED_0603_1608Metric,265.75,-96.75,90.0,top
D4,LED_PWR,LED_0603_1608Metric,498.3,-156.7,-90.0,top
D5,LED_PWR,LED_0603_1608Metric,531.756,-155.555,90.0,top
D6,LED_PWR,LED_0603_1608Metric,531.756,-162.164,90.0,top
D7,LED_PWR,LED_0603_1608Metric,531.756,-181.991,90.0,top
D8,LED_PWR,LED_0603_1608Metric,531.756,-175.382,90.0,top
D9,LED_PWR,LED_0603_1608Metric,531.756,-168.773,90.0,top
J1,FPGA I/O,PinSocket_1x24_P2.54mm_Vertical,368.7,-132.19,0.0,top
J10,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,556.825,-175.43,0.0,top
J11,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,556.825,-181.805,0.0,top
J12,AAM_DBG,PinHeader_1x03_P1.00mm_Horizontal,380.7,-53.8,90.0,top
J13,UUM_DBG,PinHeader_1x03_P1.00mm_Horizontal,355.75,-53.8,90.0,top
J14,ACM_DBG,PinHeader_1x03_P1.00mm_Horizontal,368.3,-53.8,90.0,top
J15,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,556.825,-188.5,0.0,top
J16,DSM_DBG,PinHeader_1x03_P1.00mm_Horizontal,393.25,-53.875,90.0,top
J17,LCD_display,PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,378.029,-197.4234,-90.0,top
J18,LCD_display,PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,389.8,-197.425,-90.0,top
J19,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,267.1,-62.25,0.0,top
J2,FPGA I/O,PinSocket_1x24_P2.54mm_Vertical,392.01,-132.19,0.0,top
